KO61,2021-06-07,09:00,P7,P21,P7,60,15
KO62,2021-06-07,09:00,P37,P41,P37,60,15
KO63,2021-06-07,09:45,P28,P7,P28,60,15
KO64,2021-06-07,09:45,P4,P37,P4,60,15
KO65,2021-06-07,09:45,P28,P4,P28,60,15
KO126,2022-06-07,09:00,P39,P17,P39,60,15
KO127,2022-06-07,09:00,P32,P36,P32,60,15
KO128,2022-06-07,09:45,P1,P39,P1,60,15
KO129,2022-06-07,09:45,P23,P32,P23,60,15
KO130,2022-06-07,09:45,P1,P23,P1,60,15
KO191,2023-06-07,09:00,P19,P18,P19,60,15
KO192,2023-06-07,09:00,P30,P34,P30,60,15
KO193,2023-06-07,09:45,P7,P19,P7,60,15
KO194,2023-06-07,09:45,P25,P30,P25,60,15
KO195,2023-06-07,09:45,P7,P25,P7,60,15
KO256,2024-06-07,09:00,P39,P20,P39,60,15
KO257,2024-06-07,09:00,P31,P35,P31,60,15
KO258,2024-06-07,09:45,P7,P39,P7,60,15
KO259,2024-06-07,09:45,P38,P31,P38,60,15
KO260,2024-06-07,09:45,P7,P38,P7,60,15
